City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Odweyne,SO,76.42,light rain,9.4092,45.064,Eng Hiirey House
3,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
7,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
9,Japura,ID,72.25,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
12,Meulaboh,ID,74.68,light rain,4.1363,96.1285,Kost Pria
14,Bengkulu,ID,74.08,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
16,Moron,AR,73.29,clear sky,-34.6534,-58.6198,Hotel Morón
17,Jamestown,US,74.95,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
18,Namibe,AO,66.11,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
24,Bethel,US,71.69,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
27,Ternate,ID,80.17,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
28,Iwade,JP,82.49,overcast clouds,34.25,135.3167,Hotel Itoh
29,Bardiyah,LY,73.54,clear sky,31.7561,25.0865,بورتو بردية
30,Rikitea,PF,72.3,light rain,-23.1203,-134.9692,People ThankYou
31,Bandarbeyla,SO,77.68,overcast clouds,9.4942,50.8122,JABIR HOTEL
32,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
43,Hami,CN,65.46,broken clouds,42.8,93.45,Laoyutang Resort
44,Ouesso,CG,69.55,overcast clouds,1.6136,16.0517,ABENIE Hotel
47,Nguru,NG,74.32,overcast clouds,12.8791,10.4526,Government Lodge
49,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
52,Isla Vista,US,78.91,scattered clouds,34.4133,-119.861,Best Western Plus South Coast Inn
54,Vao,NC,72.34,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
58,Waingapu,ID,77.58,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
60,Madisonville,US,83.95,clear sky,37.3281,-87.4989,Days Inn by Wyndham Madisonville
62,Komsomolskiy,UZ,66.92,broken clouds,40.4272,71.7189,Ikathouse
65,Kawaguchi,JP,83.98,overcast clouds,35.805,139.7206,Kriness
66,Ponta Do Sol,PT,75.83,scattered clouds,32.6667,-17.1,Hotel do Campo
72,Georgetown,MY,77.95,few clouds,5.4112,100.3354,Cititel Penang
73,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
76,Hamilton,US,84.07,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
81,Hithadhoo,MV,81.32,few clouds,-0.6,73.0833,Scoop Guest House
86,Kodiak,US,65.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn
87,Kalamnuri,IN,71.51,few clouds,19.6667,77.3333,खंडोबा राव शेषराव गडदे
90,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
92,Atuona,PF,77.07,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
94,Laguna,US,81.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
95,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
98,Butaritari,KI,82.99,broken clouds,3.0707,172.7902,Isles Sunset Lodge
99,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
102,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
103,Faanui,PF,78.22,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Saint Anthony,US,83.77,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
110,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
115,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
120,Namatanai,PG,82.65,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
123,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
124,Astoria,US,66.7,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
125,San Martin,AR,72.14,clear sky,-33.081,-68.4681,Finca Vivencias
126,Messina,IT,79.18,scattered clouds,38.1933,15.5497,Hotel Touring
129,Vila Franca Do Campo,PT,72.01,few clouds,37.7167,-25.4333,Pestana Bahia Praia
131,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
132,La Ronge,CA,66.42,broken clouds,55.1001,-105.2842,Northland Motor Hotel
133,Aquiraz,BR,79.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
134,Nicoya,CR,75.36,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
137,Mbuji-Mayi,CD,71.31,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
142,Eureka,US,69.75,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
144,Ucluelet,CA,66.51,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
145,Bima,ID,76.62,overcast clouds,-8.4667,118.7167,Lambitu Hotel
148,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
151,Namangan,UZ,68.23,overcast clouds,40.9983,71.6726,Мусаввир
152,Gazanjyk,TM,73.85,clear sky,39.2446,55.5154,Railway motel
