City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rudbar,AF,30.15,62.6,76.32,24,0,8.55,clear sky
1,Odweyne,SO,9.4092,45.064,76.42,50,98,14.56,light rain
2,Elko,US,41.0002,-115.5012,62.64,51,59,13.0,broken clouds
3,Kloulklubed,PW,7.0419,134.2556,79.3,64,92,2.77,overcast clouds
4,Bredasdorp,ZA,-34.5322,20.0403,52.32,78,100,2.8,overcast clouds
5,Busselton,AU,-33.65,115.3333,53.85,83,96,1.57,overcast clouds
6,Mataura,NZ,-46.1927,168.8643,53.76,51,96,5.93,overcast clouds
7,Avarua,CK,-21.2078,-159.775,78.85,73,20,16.11,few clouds
8,East London,ZA,-33.0153,27.9116,64.24,86,100,3.11,overcast clouds
9,Japura,ID,-0.3167,102.35,72.25,99,99,2.57,overcast clouds
10,Ust-Tsilma,RU,65.441,52.1498,48.85,94,100,5.84,light rain
11,Punta Arenas,CL,-53.15,-70.9167,42.91,61,0,21.85,clear sky
12,Meulaboh,ID,4.1363,96.1285,74.68,88,99,3.53,light rain
13,Yellowknife,CA,62.456,-114.3525,54.12,62,20,6.91,few clouds
14,Bengkulu,ID,-3.8004,102.2655,74.08,90,54,3.89,broken clouds
15,Ushuaia,AR,-54.8,-68.3,40.66,70,75,23.02,broken clouds
16,Moron,AR,-34.6534,-58.6198,73.29,59,0,10.36,clear sky
17,Jamestown,US,42.097,-79.2353,74.95,52,75,6.91,broken clouds
18,Namibe,AO,-15.1961,12.1522,66.11,87,72,9.01,broken clouds
19,Pangnirtung,CA,66.1451,-65.7125,42.89,72,80,3.76,broken clouds
20,Fortuna,US,40.5982,-124.1573,64.92,78,100,4.0,overcast clouds
21,Tanout,NE,14.9709,8.8879,82.02,55,72,11.77,broken clouds
22,Broken Hill,AU,-31.95,141.4333,49.48,75,11,11.74,few clouds
23,Luderitz,NA,-26.6481,15.1594,57.74,75,16,13.49,few clouds
24,Bethel,US,41.3712,-73.414,71.69,70,0,6.91,clear sky
25,Cabo San Lucas,MX,22.8909,-109.9124,92.5,55,20,8.05,few clouds
26,Hermanus,ZA,-34.4187,19.2345,51.8,73,100,5.01,overcast clouds
27,Ternate,ID,0.8,127.4,80.17,76,100,3.58,overcast clouds
28,Iwade,JP,34.25,135.3167,82.49,68,99,12.59,overcast clouds
